주차장명,주차장구분,주차장유형,소재지도로명주소,주차구획수(대),관리기관명,관리기관 전화번호
정성약국주차장,민영,노외,"우산동 8-1,10번지",24,,
동산교회 주차장,민영,노외,운암동 352-27번지,16,,
빛고을주차장,민영,노외,"운암동 423-1,2번지",20,,
국산천일염유통 주차장,민영,노외,임동 92-47번지,8,,
흥진 주차장카센타,민영,노외,누문동 76번지,60,,
대한주차장,민영,노외,"북동 210,211,213번지",60,,
한미주차장,민영,노외,북동 224-1번지,49,,
유명(세종주차장 포함),민영,노외,북동 238-3번지,70,,
의당(우주주차장 포함),민영,노외,북동 245-1번지,3,,
대성세차주차장,민영,노외,북동 257-4번지,70,,
신한주차장,민영,노외,북동 40-23번지,37,,
세진주차장,민영,노외,유동 20-1번지 외 1필지,46,,
소석(제니스)주차장,민영,노외,유동14-18번지,15,,
백경주차장,민영,노외,"중흥동 676-10,8,9,14번지",18,,
신도주차장,민영,노외,중흥동 711-11번지,12,,
광주원협주차장,민영,노외,중흥동 698-1번지,100,,
전남주차장,민영,노외,중흥동 700-11번지,7,,
파리주차장,민영,노외,중흥동 802-22번지,38,,
중흥주차장,민영,노외,중흥동 339-29번지,6,,
진주주차장,민영,노외,풍향동 578-10번지,22,,
풍향주차장,민영,노외,"풍향동 602-3, 51번지",27,,
소나무 고객주차장,민영,노외,풍향동 603-20번지,42,,
명신,민영,노외,"풍향동 509-1,2,510번지(3필지)",40,,
남도,민영,노외,용봉동 1378-1번지,40,,
다우주차장,민영,노외,"용두동 1046-2,3,4/1046-2번지",53,,
용두주차장,민영,노외,용봉동 743-3번지 외 2필지,45,,
강남주차장,공영,노외,광주광역시 광산구 광산로30번길 10,62,광산구청,062-960-8632
광산로 제1,공영,노외,광주광역시 광산구 송정동 805-4,70,광산구청,062-960-8632
광산로 제2,공영,노외,광주광역시 광산구 송정동 582-4,30,광산구청,062-960-8632
문화예술회관,공영,노외,광주광역시 광산구 우산동 1601-10,40,광산구청,062-960-8632
우산동 행정복지센터 앞,공영,노외,광주광역시 광산구 수완동 937-1,74,광산구청,062-960-8632
수완동 행정복지센터 옆,공영,노외,광주광역시 광산구 사암로339번길 16-8,6,광산구청,062-960-8632
월곡2동 행정복지센터 옆,공영,노외,광주광역시 광산구 무진대로 255,59,광산구청,062-960-8632
호남병원 옆,공영,노외,광주광역시 광산구 목련로219번길 112,62,광산구청,062-960-8632
운남동,공영,노외,광주광역시 광산구 신촌동 1083-1,10,광산구청,062-960-8632
신흥동,공영,노외,광주광역시 광산구 송정동 679,27,광산구청,062-960-8632
원동,공영,노외,광주광역시 광산구 비아동원촌길 17,47,광산구청,062-960-8632
비아5일시장 제2,공영,노외,광주광역시 광산구 하남산단4번로 132,56,광산구청,062-960-8632
하남산단,공영,노외,광주광역시 광산구 신촌동 707-90,14,광산구청,062-960-8632
야촌마을,공영,노외,광주광역시 광산구 우산동 1601-6,22,광산구청,062-960-8632
우산동 KT 앞,공영,노외,광주광역시 광산구 무진대로212번길 13-36,19,광산구청,062-960-8632
우산동 MGM,공영,노외,광주광역시 광산구 무진대로212번길 16,20,광산구청,062-960-8632
우산동 파라다이스 옆,공영,노외,광주광역시 광산구 우산동 1574-7,21,광산구청,062-960-8632
빛고을국민체육센터 옆,공영,노외,광주광역시 광산구 무진대로231번길 15,20,광산구청,062-960-8632
우산동 맨하탄모텔 옆,공영,노외,광주광역시 광산구 용아로 245,26,광산구청,062-960-8632
광주여대 A,공영,노외,광주광역시 광산구 용아로 231,33,광산구청,062-960-8632
광주여대 B,공영,노외,광주광역시 광산구 고룡동 997,40,광산구청,062-960-8632
진곡일반산업단지 주차장1,공영,노외,광주광역시 광산구 진곡동 511,22,광산구청,062-960-8632
진곡일반산업단지 주차장2,공영,노외,광주광역시 광산구 오선동 667,11,광산구청,062-960-8632
진곡일반산업단지 주차장3,공영,노외,광주광역시 광산구 오선동 680,8,광산구청,062-960-8632
진곡일반산업단지 주차장4,공영,노외,광주광역시 광산구 오선동 708,11,광산구청,062-960-8632
진곡일반산업단지 주차장5,공영,노외,광주광역시 광산구 오선동 686,18,광산구청,062-960-8632
진곡일반산업단지 주차장6,공영,노외,광주광역시 광산구 오선동 634,33,광산구청,062-960-8632
진곡일반산업단지 주차장7,공영,노외,광주광역시 광산구 오선동 643,20,광산구청,062-960-8632
진곡일반산업단지 주차장8,공영,노외,광주광역시 광산구 고룡동 1007,23,광산구청,062-960-8632
진곡일반산업단지 주차장9,공영,노외,광주광역시 광산구 진곡동 529,22,광산구청,062-960-8632
진곡일반산업단지 주차장10,공영,노외,광주광역시 광산구 진곡동 682,38,광산구청,062-960-8632
진곡일반산업단지 주차장11,공영,노외,광주광역시 광산구 오선동 742,65,광산구청,062-960-8632
진곡일반산업단지 주차장12,공영,노외,광주광역시 광산구 진곡동 552,14,광산구청,062-960-8632
진곡일반산업단지 주차장13,공영,노외,광주광역시 광산구 하남동 887,18,광산구청,062-960-8632
하남3지구 주차장1,공영,노외,광주광역시 광산구 하남동 1063,17,광산구청,062-960-8632
하남3지구 주차장2,공영,노외,광주광역시 광산구 흑석동 652,20,광산구청,062-960-8632
하남3지구 주차장3,공영,노외,광주광역시 광산구 하남동 1266,24,광산구청,062-960-8632
하남3지구 주차장5,공영,노외,광주광역시 광산구 하남동 1010,14,광산구청,062-960-8632
하남3지구 주차장7,공영,노외,광주광역시 광산구 하남동 1146,12,광산구청,062-960-8632
하남3지구 주차장8,공영,노외,광주광역시 광산구 흑석동 719,13,광산구청,062-960-8632
하남3지구 주차장9,공영,노외,광주광역시 광산구 하남동 956,13,광산구청,062-960-8632
하남3지구 주차장10,공영,노외,광주광역시 광산구 흑석동 794,25,광산구청,062-960-8632
하남3지구 주차장11,공영,노외,광주광역시 광산구 하남동 1056,18,광산구청,062-960-8632
하남3지구 주차장12,공영,노외,광주광역시 광산구 하남동 932,12,광산구청,062-960-8632
하남3지구 주차장13,공영,노외,광주광역시 광산구 흑석동 673,7,광산구청,062-960-8632
하남3지구 주차장14,공영,노외,광주광역시 광산구 송정동 1005-1,52,광산구청,062-960-8632
광주송정역뒤 공영주차장 ,공영,노외,광주광역시 광산구 흑석동 778,119,광산구청,062-960-8632
하남3지구 주차전용건축물1,공영,노외,광주광역시 광산구 하남동 1201,196,광산구청,062-960-8632
하남3지구 주차전용건축물2,공영,노외,광주광역시 광산구 수완동 918,65,광산구청,062-960-8632
수완지구 공영주차장,공영,노외,광주광역시 광산구 신창동 1056-1,14,광산구청,062-960-8632
신창매결마을 주차장,공영,노외,연산동 1197,14,광산구청,062-960-8632
평동3차산단 주차장,공영,노외,우산동 1611-4,21,광산구청,062-960-8632
광주여대 캠핑카존,공영,노외,유계동 414-15,28,광산구청,062-960-8632
황룡강생태길30,공영,노외,쌍암동 653-1,74,광산구청,062-960-8632
쌍암근린공원,공영,노상,송정동 791-1~793-20(송정중학교 주변),25,광산구청,062-960-8632
송정동 791-1~793-20(송정중학교 주변),공영,노상,송정동 554-1(용보로),10,광산구청,062-960-8632
송정동 554-1(용보로),공영,노상,우산동 1035-1~1038-4(상수도광산사업소~화훼단지),84,광산구청,062-960-8632
우산동 1035-1~1038-4(상수도광산사업소~화훼단지),공영,노상,우산동 1583-1~1587-1(콜럼버스시네마 주변),38,광산구청,062-960-8632
우산동 1583-1~1587-1(콜럼버스시네마 주변),공영,노상,우산동 1603-1 시영@2단지~우산동 1602-2 시영@1단지,98,광산구청,062-960-8632
우산동 1603-1 시영@2단지~우산동 1602-2 시영@1단지,공영,노상,우산동 1571-1 주공@2단지201동~206동,55,광산구청,062-960-8632
우산동 1571-1 주공@2단지201동~206동,공영,노상,산정동 933 대덕@(동측)~산정동 939 태양@(동측),27,광산구청,062-960-8632
산정동 933 대덕@(동측)~산정동 939 태양@(동측),공영,노상,월곡동 50-9~60-5,34,광산구청,062-960-8632
월곡동 50-9~60-5,공영,노상,월곡동 595-8~583-6,36,광산구청,062-960-8632
월곡동 595-8~583-6,공영,노상,월곡동61-22~월곡동 금호타운 정문,22,광산구청,062-960-8632
월곡동61-22~월곡동 금호타운 정문,공영,노상,산정동 945-1~957-8,32,광산구청,062-960-8632
산정동 945-1~957-8,공영,노상,산정동 962-1~974-8,46,광산구청,062-960-8632
산정동 962-1~974-8,공영,노상,산정동 959-7~960-9,20,광산구청,062-960-8632
산정동 959-7~960-9,공영,노상,월곡동 538-1 일신@~산정동 949-1,52,광산구청,062-960-8632
월곡동 538-1 일신@~산정동 949-1,공영,노상,비아동 23-5 주변,10,광산구청,062-960-8632
